source_record_id,project_name,agency_name,province,procurement_method,procurement_category,budget_amount,winning_amount,winner_name,announcement_date,contract_date,source_url,raw_text
SAMPLE-0001,Construction of community service building 001,Sample Municipality B,Chiang Mai,specific selection,Construction,341500,298813,Sample Vendor B,2025-02-02,2025-02-14,https://example.org/sample-procurement/1,Sample/demo procurement record only. Agency Sample Municipality B plans Construction of community service building 001. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0002,Medical equipment procurement for outpatient unit 002,Sample Hospital C,Phuket,market inquiry,Medical Supplies,433000,385370,Sample Vendor C,2025-03-03,2025-03-15,https://example.org/sample-procurement/2,Sample/demo procurement record only. Agency Sample Hospital C plans Medical equipment procurement for outpatient unit 002. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0003,School internet and classroom device upgrade 003,Sample Education Service Area D,Khon Kaen,e-market,Education,524500,474673,Sample Vendor D,2025-04-04,2025-04-16,https://example.org/sample-procurement/3,Sample/demo procurement record only. Agency Sample Education Service Area D plans School internet and classroom device upgrade 003. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0004,Water pump maintenance and replacement 004,Sample Highway District E,Chonburi,e-bidding,Utilities,616000,566720,Sample Vendor E,2025-05-05,2025-05-17,https://example.org/sample-procurement/4,Sample/demo procurement record only. Agency Sample Highway District E plans Water pump maintenance and replacement 004. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0005,Road surface improvement and traffic safety work 005,Sample Digital Service Center F,Songkhla,specific selection,Transport,707500,661513,Sample Vendor F,2025-06-06,2025-06-18,https://example.org/sample-procurement/5,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Road surface improvement and traffic safety work 005. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0006,Office computer and printer replacement 006,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,799000,759050,Sample Vendor G,2025-07-07,2025-07-19,https://example.org/sample-procurement/6,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Office computer and printer replacement 006. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0007,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 007,Sample Public Health Office H,Udon Thani,e-market,Public Health,890500,765830,Sample Vendor H,2025-08-08,2025-08-20,https://example.org/sample-procurement/7,Sample/demo procurement record only. Agency Sample Public Health Office H plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 007. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0008,IT cybersecurity monitoring subscription 008,Sample Provincial Office A,Bangkok,e-bidding,IT,982000,859250,Sample Vendor I,2025-09-09,2025-09-21,https://example.org/sample-procurement/8,Sample/demo procurement record only. Agency Sample Provincial Office A plans IT cybersecurity monitoring subscription 008. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0009,Solar lighting installation for public area 009,Sample Municipality B,Chiang Mai,specific selection,Construction,911500,811235,Sample Vendor J,2025-10-10,2025-10-22,https://example.org/sample-procurement/9,Sample/demo procurement record only. Agency Sample Municipality B plans Solar lighting installation for public area 009. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0010,IT network upgrade for public service office 010,Sample Hospital C,Phuket,market inquiry,Medical Supplies,1003000,907715,Sample Vendor K,2025-11-11,2025-11-23,https://example.org/sample-procurement/10,Sample/demo procurement record only. Agency Sample Hospital C plans IT network upgrade for public service office 010. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
